,title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
1745,Baywatch,Par.,58100000.0,119800000.0,2017,tt1469304,Baywatch,Baywatch,2017.0,116.0,"Action,Comedy,Crime"
1746,The Hitman's Bodyguard,LG/S,75500000.0,101100000.0,2017,tt1959563,The Hitman's Bodyguard,The Hitman's Bodyguard,2017.0,118.0,"Action,Comedy,Thriller"
1747,John Wick: Chapter Two,LG/S,92000000.0,79500000.0,2017,,,,,,
1748,Ghost in the Shell (2017),Par.,40600000.0,129199999.0,2017,,,,,,
1749,"Three Billboards Outside Ebbing, Missouri",FoxS,54500000.0,104700000.0,2017,tt5027774,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017.0,115.0,"Crime,Drama"
1750,Duckweed,CL,472000.0,150600000.0,2017,tt6461514,Duckweed,Cheng feng po lang,2017.0,102.0,"Comedy,Drama,Fantasy"
1751,Darkest Hour,Focus,56500000.0,94400000.0,2017,tt4555426,Darkest Hour,Darkest Hour,2017.0,125.0,"Biography,Drama,History"
1752,King Arthur: Legend of the Sword,WB,39200000.0,109500000.0,2017,tt1972591,King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,2017.0,126.0,"Action,Adventure,Drama"
1753,The Foreigner,STX,34400000.0,111000000.0,2017,tt1615160,The Foreigner,The Foreigner,2017.0,113.0,"Action,Thriller"
1754,Power Rangers (2017),LGF,85400000.0,57000000.0,2017,,,,,,
1755,Girls Trip,Uni.,115200000.0,25400000.0,2017,tt3564472,Girls Trip,Girls Trip,2017.0,122.0,"Comedy,Drama"
1756,American Made,Uni.,51300000.0,83500000.0,2017,tt3532216,American Made,American Made,2017.0,115.0,"Action,Biography,Comedy"
1757,A Bad Moms Christmas,STX,72100000.0,58400000.0,2017,tt6359956,A Bad Moms Christmas,A Bad Moms Christmas,2017.0,104.0,"Adventure,Comedy"
1758,Captain Underpants: The First Epic Movie,Fox,73900000.0,51600000.0,2017,tt2091256,Captain Underpants: The First Epic Movie,Captain Underpants: The First Epic Movie,2017.0,89.0,"Action,Animation,Comedy"
1759,Happy Death Day,Uni.,55700000.0,69800000.0,2017,tt5308322,Happy Death Day,Happy Death Day,2017.0,96.0,"Horror,Mystery,Thriller"
1760,The LEGO Ninjago Movie,WB,59300000.0,63800000.0,2017,,,,,,
1761,The Dark Tower,Sony,50700000.0,62500000.0,2017,tt1648190,The Dark Tower,The Dark Tower,2017.0,95.0,"Action,Adventure,Fantasy"
1762,Buddies in India,CL,293000.0,109300000.0,2017,tt6152908,Buddies in India,Buddies in India,2017.0,99.0,"Action,Comedy"
1763,Leap!,Wein.,21900000.0,81400000.0,2017,tt2261287,Leap!,Ballerina,2016.0,89.0,"Adventure,Animation,Comedy"
1764,Jigsaw,LGF,38100000.0,64900000.0,2017,tt3348730,Jigsaw,Jigsaw,2017.0,92.0,"Crime,Horror,Mystery"
1765,Railroad Tigers,WGUSA,218000.0,102000000.0,2017,tt4687848,Railroad Tigers,Railroad Tigers,2016.0,124.0,"Action,Comedy,War"
1766,Life (2017),Sony,30200000.0,70300000.0,2017,,,,,,
1767,Atomic Blonde,Focus,51700000.0,48300000.0,2017,tt2406566,Atomic Blonde,Atomic Blonde,2017.0,115.0,"Action,Mystery,Thriller"
1768,The Shack,LG/S,57400000.0,39600000.0,2017,tt2872518,The Shack,The Shack,2017.0,132.0,"Drama,Fantasy"
1769,Some Like It Hot (Qing Shung),CL,100000.0,95600000.0,2017,,,,,,
1770,Tiger Zinda Hai,Yash,5600000.0,81800000.0,2017,tt5956100,Tiger Zinda Hai,Tiger Zinda Hai,2017.0,161.0,"Action,Adventure,Thriller"
1771,Going in Style (2017),WB (NL),45000000.0,39900000.0,2017,,,,,,
1772,Rings,Par.,27800000.0,55300000.0,2017,tt0498381,Rings,Rings,2017.0,102.0,"Drama,Horror,Mystery"
1773,A Taxi Driver,WGUSA,1500000.0,80100000.0,2017,tt6878038,A Taxi Driver,Taeksi woonjunsa,2017.0,137.0,"Action,Drama,History"
1774,Underworld: Blood Wars,SGem,30400000.0,50700000.0,2017,tt3717252,Underworld: Blood Wars,Underworld: Blood Wars,2016.0,91.0,"Action,Adventure,Fantasy"
1775,Lady Bird,A24,49000000.0,30000000.0,2017,tt4925292,Lady Bird,Lady Bird,2017.0,94.0,"Comedy,Drama"
1776,American Assassin,LGF,36200000.0,31000000.0,2017,tt1961175,American Assassin,American Assassin,2017.0,112.0,"Action,Thriller"
1777,One Piece Film: Gold,FUN,424000.0,65800000.0,2017,tt5251328,One Piece Film: Gold,One Piece Film: Gold,2016.0,120.0,"Action,Adventure,Animation"
1778,Victoria and Abdul,Focus,22200000.0,43200000.0,2017,,,,,,
1779,The Nut Job 2: Nutty by Nature,ORF,28400000.0,36800000.0,2017,tt3486626,The Nut Job 2: Nutty by Nature,The Nut Job 2: Nutty by Nature,2017.0,91.0,"Adventure,Animation,Comedy"
1780,Monster Trucks,Par.,33400000.0,31100000.0,2017,tt3095734,Monster Trucks,Monster Trucks,2016.0,104.0,"Action,Adventure,Comedy"
1781,The Mountain Between Us,Fox,30300000.0,32500000.0,2017,tt2226597,The Mountain Between Us,The Mountain Between Us,2017.0,112.0,"Action,Adventure,Drama"
1782,The Star,Sony,40900000.0,22000000.0,2017,tt4587656,The Star,The Star,2017.0,86.0,"Adventure,Animation,Comedy"
1783,How to be a Latin Lover,PNT,32100000.0,29700000.0,2017,,,,,,
1784,"Everything, Everything",WB,34100000.0,27500000.0,2017,tt5001718,"Everything, Everything","Everything, Everything",2017.0,96.0,"Drama,Romance"
1785,Snatched,Fox,45900000.0,15000000.0,2017,tt10065960,Snatched,Snatched,2016.0,11.0,Drama
1786,Snatched,Fox,45900000.0,15000000.0,2017,tt2334871,Snatched,Snatched,2017.0,90.0,"Action,Adventure,Comedy"
1787,My Little Pony: The Movie,LGF,21900000.0,38400000.0,2017,tt4131800,My Little Pony: The Movie,My Little Pony: The Movie,2017.0,99.0,"Adventure,Animation,Comedy"
1788,Molly's Game,STX,28800000.0,30500000.0,2017,tt4209788,Molly's Game,Molly's Game,2017.0,140.0,"Biography,Crime,Drama"
1789,All the Money in the World,TriS,25100000.0,31900000.0,2017,tt5294550,All the Money in the World,All the Money in the World,2017.0,132.0,"Biography,Crime,Drama"
1790,The Big Sick,LGF,42900000.0,13500000.0,2017,tt5462602,The Big Sick,The Big Sick,2017.0,120.0,"Comedy,Drama,Romance"
1791,Confidential Assignment,CJ,476000.0,55500000.0,2017,tt5606538,Confidential Assignment,Gongjo,2017.0,125.0,Action
